Nested Sampling Global Log-Evidence           :   -0.703645246481095796E+02  +/-    0.186314238187536396E+00
Nested Importance Sampling Global Log-Evidence:   -0.755212842020635264E+02  +/-    0.795703731006047049E-02

Dim No.       Mean        Sigma
   1    0.346342225737536369E+00    0.390949040251524146E-01
   2    0.213142238357438091E+00    0.596388784711288644E-01
   3    0.212731330474777686E+00    0.592877778630743410E-01
   4    0.988130177713510349E+01    0.388588821399398543E+00
   5   -0.336915675829076500E+00    0.113008935266872043E+00
   6    0.753360015131846836E+02    0.199140439193829066E+00
   7    0.168180554675702171E+00    0.100324243194252358E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.276901297766513843E+00
   2    0.257944349633576764E+00
   3    0.248855407225898828E+00
   4    0.102547696063824407E+02
   5   -0.360599465581722178E+00
   6    0.752775175265120708E+02
   7    0.111369882487579189E+00

MAP Parameters
Dim No.        Parameter
   1    0.276901297766513843E+00
   2    0.257944349633576764E+00
   3    0.248855407225898828E+00
   4    0.102547696063824407E+02
   5   -0.360599465581722178E+00
   6    0.752775175265120708E+02
   7    0.111369882487579189E+00
